Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
46	9353.853	668.46576	9859.774	7401.7524	10073.648	165.38931	10340.659	9738.146	1000.0	1000.0	459999	1024.94	178.07304	1231.76	-13.172396	-1027.5254	52.954945	3457.4216022491455
47	9510.405	205.68454	9935.171	9262.846	10141.881	154.52315	10399.645	9882.236	1000.0	1000.0	469999	1028.7128	179.26822	1236.6385	20.990257	-1031.3142	53.783356	3532.2284429073334
48	9543.125	376.72382	9942.227	8555.237	9779.07	668.80334	10385.315	7895.1084	1000.0	1000.0	479999	1032.4764	182.67206	1239.0667	25.734932	-1035.0735	57.1427	3610.724655151367
49	9329.213	370.91745	9872.228	8563.154	10081.364	145.80185	10311.246	9871.313	1000.0	1000.0	489999	1037.952	177.83795	1244.1692	1.845685	-1040.5872	54.563026	3685.708202600479
50	9065.828	1249.8381	9905.708	5453.9683	9301.019	2272.0254	10318.283	2500.0586	1000.0	1000.0	499999	1041.3009	176.09583	1247.1525	31.086605	-1043.9216	54.8735	3760.5547966957092
51	9563.828	304.38388	10141.049	9209.75	9642.447	743.7991	10131.817	7442.1274	1000.0	1000.0	509999	1046.4722	174.92143	1250.2635	60.351883	-1049.0604	53.35928	3835.432574033737
52	9496.222	342.0836	10084.535	8979.756	9810.99	382.4359	10250.406	8756.947	1000.0	1000.0	519999	1049.9989	177.29077	1253.5028	85.92067	-1052.6123	56.23656	3910.295200586319
53	8834.452	1949.045	10031.523	3220.3042	10100.032	690.6026	10555.026	8110.123	1000.0	1000.0	529999	1052.8307	178.23312	1254.5385	76.240326	-1055.389	54.614517	3985.5481190681458
54	9481.747	398.55612	10127.757	8819.97	10033.526	181.23524	10298.531	9691.153	1000.0	1000.0	539999	1052.6263	180.28871	1247.294	59.610622	-1055.0917	54.532856	4060.3264207839966
55	9707.797	318.0105	10265.755	9111.369	10463.517	198.13763	10837.878	10097.017	1000.0	1000.0	549999	1054.0841	177.45125	1254.844	16.505169	-1056.5759	53.386505	4135.026688575745
56	9453.601	349.1757	10064.39	8835.32	10053.58	91.624115	10182.29	9858.182	1000.0	1000.0	559999	1054.7948	177.31941	1252.3058	69.17955	-1057.2778	56.22332	4209.831799507141
57	9745.391	404.97455	10200.11	8799.303	9155.471	2524.5432	10187.91	1591.9641	1000.0	1000.0	569999	1057.2272	179.63474	1255.9689	-175.22739	-1059.6836	55.369892	4284.680196046829
58	9582.843	457.84305	10114.104	8537.797	10181.657	71.958206	10298.914	10017.491	1000.0	1000.0	579999	1060.2404	181.03354	1262.1987	-295.89294	-1062.6866	57.052593	4359.571150302887
59	9844.143	243.73633	10165.365	9313.336	10233.875	210.4038	10494.066	9662.375	1000.0	1000.0	589999	1062.1755	178.60236	1267.0715	-10.479091	-1064.641	55.49593	4434.476513385773
60	8807.622	2287.9724	10174.609	2379.165	10231.135	138.37247	10493.63	10053.504	1000.0	1000.0	599999	1065.0345	177.30109	1270.8475	-99.11932	-1067.5032	55.123344	4509.28986787796
61	9717.426	351.09952	10055.882	8801.535	9996.1	419.4269	10336.016	8819.527	1000.0	1000.0	609999	1065.489	177.79794	1265.689	-220.99051	-1067.8827	56.865974	4584.1357045173645
62	9730.611	455.61453	10385.764	9008.942	10473.075	180.36057	10667.674	10040.872	1000.0	1000.0	619999	1068.063	176.57242	1270.8595	-52.036232	-1070.471	56.452507	4658.862460374832
63	9821.545	374.36807	10342.808	9108.647	10353.96	156.09926	10655.953	10104.014	1000.0	1000.0	629999	1070.4515	180.1127	1273.9274	-19.439121	-1072.8485	56.727295	4733.633276224136
64	10037.248	238.54904	10263.115	9458.452	10084.193	680.8856	10852.469	8394.993	1000.0	1000.0	639999	1073.1211	183.66418	1271.8704	-4.771148	-1075.503	58.576595	4808.3386352062225
65	9696.344	678.7569	10439.191	7947.7725	10658.646	166.44475	10830.909	10271.128	1000.0	1000.0	649999	1075.9742	185.34462	1280.7183	-31.439968	-1078.3778	58.14694	4883.129657506943
66	9762.678	788.0324	10305.468	7473.309	10464.207	134.89375	10673.172	10223.175	1000.0	1000.0	659999	1078.5161	185.43239	1280.3387	-71.14668	-1080.8981	58.987705	4958.322293519974
67	8971.791	2612.038	10188.005	1176.7959	10537.667	121.23556	10782.159	10354.595	1000.0	1000.0	669999	1081.9456	183.99866	1282.5731	-99.31288	-1084.3462	58.89772	5033.157361745834
68	9512.601	1488.7864	10238.728	5069.8433	10619.568	121.326416	10760.459	10373.026	1000.0	1000.0	679999	1083.5404	184.78033	1281.4481	44.331364	-1085.919	58.319336	5107.876436471939
69	9908.215	331.26877	10399.339	9301.433	10787.977	114.7884	11039.608	10643.402	1000.0	1000.0	689999	1085.8567	185.88081	1285.0475	46.488243	-1088.2157	58.030926	5182.445524692535
70	9874.575	535.1629	10391.565	8510.72	10570.74	163.02791	10904.56	10336.51	1000.0	1000.0	699999	1087.5365	186.79451	1295.49	11.653493	-1089.9275	59.851795	5257.1316866874695
71	10187.224	308.84973	10538.775	9470.431	9588.485	395.6725	10237.611	9113.923	1000.0	1000.0	709999	1091.8739	185.2396	1293.3458	-67.27146	-1094.2998	59.00815	5331.924822092056
72	9986.422	501.98495	10549.369	8880.713	10600.043	85.918465	10764.318	10490.863	1000.0	1000.0	719999	1097.6711	180.48569	1309.5613	-35.306675	-1100.1394	60.025055	5406.663504600525
73	9568.913	666.9544	10270.738	7858.4346	10504.249	139.27673	10757.212	10240.404	1000.0	1000.0	729999	1102.5403	180.5652	1302.3206	-46.709698	-1104.9904	61.29667	5483.71505522728
74	10134.682	361.95267	10699.831	9484.554	10374.908	263.96762	10896.12	9959.631	1000.0	1000.0	739999	1104.9031	181.29892	1300.4335	55.25299	-1107.3057	61.5066	5563.673099517822
75	9579.081	1996.5526	10579.073	3614.5303	10741.15	267.00507	11164.634	10208.315	1000.0	1000.0	749999	1107.8654	178.06264	1305.8145	17.251486	-1110.2976	60.41695	5641.364807367325
76	10129.341	188.88275	10596.127	9854.322	10139.426	2028.0758	11170.503	4109.821	1000.0	1000.0	759999	1110.2068	178.2034	1311.3588	51.24568	-1112.645	60.888374	5724.8095915317535
77	10012.417	552.7198	10693.661	8958.364	10983.973	154.55103	11225.695	10778.67	1000.0	1000.0	769999	1112.8436	178.07132	1317.27	49.26639	-1115.2787	61.421867	5801.774227619171
78	10236.455	245.39815	10766.241	9822.187	10742.071	256.39673	11033.307	10109.86	1000.0	1000.0	779999	1113.8479	181.34578	1316.9535	27.13984	-1116.2156	58.710125	5879.93208694458
79	10374.076	202.4361	10712.559	9895.89	9838.998	1914.1102	10855.793	4232.437	1000.0	1000.0	789999	1116.0426	179.98532	1318.9866	-24.549112	-1118.4579	61.006943	5971.417835235596
80	10143.256	324.59012	10408.6	9272.139	10770.534	127.72136	11049.515	10630.793	1000.0	1000.0	799999	1119.4984	180.20729	1319.563	-77.553734	-1121.9491	59.614204	6063.894917011261
